leak_coeff: 0.1,,,,,leak_coeff: 0.2,,,,,leak_coeff: 0.30000000000000004,,,,,leak_coeff: 0.4,,,,,leak_coeff: 0.5,,,,
leakage_position (foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm),leak_elev (feet)
9,116.3123349147529,120.64485868956123,1519.4854392697337,1517.4263921303516,0.0,116.1854904977951,120.51801440868908,1521.3057274046168,1517.1883358037096,0.0,116.06659071867836,120.39911483246601,1523.0105442562274,1516.8352676855052,0.0,115.9435505282283,120.27607481096221,1524.773054888959,1516.5405641669925,0.0,115.81933885397726,120.15186329641531,1526.5508387469622,1516.2617211565218,0.0
10,116.31233465714163,120.64485843168612,1519.4854717737269,1517.4264559241924,0.0,116.1854926480376,120.51801655846056,1521.3058207550257,1517.1883654715027,0.0,116.0665885033469,120.39911261644203,1523.0105239749148,1516.8352881119333,0.0,115.94355435586942,120.27607863767413,1524.7731196880407,1516.5406007970948,0.0,115.81933871856934,120.15186315983021,1526.5508185052872,1516.2617936761815,0.0
11,116.31233821977473,120.64486199406554,1519.4855361039733,1517.426502162634,0.0,116.18549196168003,120.51801587166584,1521.3057497223338,1517.1883370388286,0.0,116.06659053701772,120.39911464939712,1523.0105814346982,1516.8353483310675,0.0,115.94355224583552,120.27607652675876,1524.7730251754392,1516.540555455504,0.0,115.81934036900375,120.15186480921263,1526.5507274586355,1516.2616504396547,0.0
12,116.31233483796626,120.64485861207594,1519.4854874042799,1517.4264235434,0.0,116.18549230325834,120.51801621281632,1521.305723957918,1517.1882924655845,0.0,116.06658907912549,120.39911319080889,1523.010595721155,1516.8353746464609,0.0,115.94355221826703,120.2760764982493,1524.7730822991862,1516.54061240928,0.0,115.8193411647098,120.15186560372494,1526.550855868932,1516.2617511948858,0.0
13,116.31233688628951,120.6448606602182,1519.4854456647597,1517.426344641433,0.0,116.1854916997224,120.51801560874443,1521.3058294551154,1517.1884340677107,0.0,116.06658759161651,120.39911170263494,1523.0105761167774,1516.8353475116776,0.0,115.94355124318037,120.27607552228481,1524.7730357879843,1516.5405606827755,0.0,115.8193426442479,120.15186708219014,1526.5507433458304,1516.261644034724,0.0
14,116.31233596005396,120.64485973369476,1519.4854690614752,1517.4264499480764,0.0,116.18549313213148,120.51801704077081,1521.3057720459308,1517.1883117190926,0.0,116.06658912863175,120.39911323899749,1523.010588865289,1516.8352991154013,0.0,115.94355480459737,120.27607908280656,1524.7730548675127,1516.5405388344852,0.0,115.81933885898883,120.15186329573183,1526.550823904856,1516.261754440299,0.0
15,116.31233582239611,120.64485959582673,1519.4854616250268,1517.4264213492218,0.0,116.18549178129594,120.51801568944029,1521.3057776185087,1517.1883828888447,0.0,116.06659081843304,120.39911492814667,1523.0105442621646,1516.8352498489526,0.0,115.94355438573794,120.27607866302955,1524.7729880312118,1516.5405557798674,0.0,115.81934165253892,120.15186608818355,1526.5508387418522,1516.2616908586972,0.0
16,116.31233620507419,120.64485997825426,1519.4855076292183,1517.4264621852203,0.0,116.18549241713666,120.51801632484059,1521.3057825496003,1517.1883599740431,0.0,116.06658969717677,120.39911380615237,1523.0105836169516,1516.8353486297428,0.0,115.94355323006492,120.2760775064423,1524.773033910516,1516.5405666047484,0.0,115.81934120635138,120.15186564083282,1526.5507732776773,1516.2617394760916,0.0
17,116.31233557360478,120.64485934657112,1519.4854740330638,1517.4264397672573,0.0,116.18549179950104,120.51801570674738,1521.3058365307998,1517.188366468569,0.0,116.06658875276601,120.3991128610703,1523.0105938195913,1516.835332361319,0.0,115.94355342150392,120.27607769695999,1524.7730994392032,1516.540589598955,0.0,115.81933989608565,120.15186432945139,1526.5507892787393,1516.2617058278427,0.0
18,116.3123356557022,120.64485942842711,1519.4854674941753,1517.4264650596,0.0,116.185492254752,120.51801616155348,1521.3057673467483,1517.188351447809,0.0,116.06659127395248,120.39911538161495,1523.0105325194954,1516.8352653797976,0.0,115.94355414661365,120.27607842115741,1524.7730877088727,1516.5405972807655,0.0,115.81933983781278,120.15186427002111,1526.5508036085942,1516.261744253535,0.0
