distance_between_leaks: 1000 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
541.0,117.3074629614462,114.90388128365304,1257.9281071293572,1250.0656877972413
542.0,117.30747070634678,114.90387817182258,1257.9276923184443,1250.0652860578853
543.0,117.30747846162645,114.9038750715949,1257.9272773937123,1250.064884201451
544.0,117.30748621564956,114.90387197000739,1257.9268624826927,1250.0644823610767
545.0,117.3074939397683,114.90386883517834,1257.9264479127337,1250.0640808610506
546.0,117.30750166341144,114.90386569985492,1257.9260333483517,1250.0636793685933
547.0,117.30750942910772,114.90386261139395,1257.9256183091686,1250.0632773994926
548.0,117.30751718141497,114.90385950807114,1257.9252034241335,1250.0628755837631
549.0,117.3075249043817,114.90385637213254,1257.9247888713626,1250.0624741022023
550.0,117.30753264865778,114.9038532599546,1257.9243740789666,1250.0620723804843
551.0,117.30754040165891,114.90385015754222,1257.9239591888074,1250.0616705600778
552.0,117.30754813269722,114.90384703070958,1257.9235445505105,1250.0612689918091
553.0,117.3075558919519,114.90384393533726,1257.9231295918812,1250.0608671038824
554.0,117.30756363450054,114.90384082141685,1257.9227148239816,1250.0604654063818
555.0,117.30757137162696,114.90383770148762,1257.9223001202827,1250.060063773393
556.0,117.30757911830302,114.90383459224797,1257.921885308587,1250.0596620317417
557.0,117.30758685265633,114.90383146932376,1257.9214706391604,1250.0592604323394
558.0,117.30759459209592,114.90382835211362,1257.921055912162,1250.0588587756683
559.0,117.30760233142873,114.90382523481344,1257.9206411890382,1250.058457123003
560.0,117.30761008075515,114.9038221286949,1257.9202263536265,1250.0580553568502
561.0,117.30761783457878,114.9038190276259,1257.9198114676221,1250.0576535409923
562.0,117.3076255582319,114.9038158930026,1257.9193969241521,1250.0572520701978
563.0,117.30763331882831,114.90381279955238,1257.918981965133,1250.0568501808382
564.0,117.30764103600349,114.90380965782016,1257.918567498825,1250.0564487846586
565.0,117.30764876803076,114.9038065326509,1257.9181528654192,1250.0560472225732
566.0,117.30765652594526,114.90380343635033,1257.9177379411228,1250.0556453671481
567.0,117.30766428860444,114.9038003453659,1257.9173229640874,1250.05524346009
568.0,117.30679427348166,114.90282030380591,1257.9268384488958,1250.0647875798272
569.0,117.30680198413376,114.90281715498092,1257.9264240632187,1250.0643862647942
570.0,117.30680973534258,114.90281405132451,1257.9260092212014,1250.0639844929178
