distance_between_leaks: 100 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
89,117.30466382975192,114.90702885768471,1258.1344676653769,1250.2742430095175
90,117.30467158452527,114.90702574830122,1258.1340524191853,1250.273840851111
91,117.30467932978702,114.90702262837634,1258.133637282262,1250.273438801689
92,117.30468708476461,114.90701951930782,1258.1332220358781,1250.2730366435626
93,117.30469482805357,114.90701639726976,1258.1328069232204,1250.272634619617
94,117.30470258853056,114.9070132944034,1258.1323916179097,1250.2722324023614
95,117.3047103231652,114.90701016283657,1258.1319766061872,1250.2718304775
96,117.30471807356757,114.90700704884861,1258.1315614165405,1250.2714283766559
97,117.30472581275944,114.90700392242336,1258.1311463563738,1250.2710264045593
98,117.30473356947415,114.9070008155555,1258.1307310982022,1250.2706242340491
99,117.30474130990527,114.90699769059442,1258.1303160269504,1250.2702222507723
100,117.30474907398226,114.9069945919951,1258.129900689093,1250.269820000707
101,117.3047568019955,114.90699145331482,1258.1294857599971,1250.269418159357
102,117.30476456927093,114.9069883583586,1258.1290703887785,1250.269015876077
103,117.3047723133757,114.90698523767402,1258.128655280321,1250.2686138550573
104,117.30478004677808,114.90698210510362,1258.1282402946028,1250.2682119584804
105,117.30478780981213,114.9069790055577,1258.1278249755949,1250.2678097272162
106,117.30479553715186,114.90697586634211,1258.1274100611633,1250.2674079004282
107,117.30480330642254,114.9069727738306,1258.1269946735945,1250.267005600485
108,117.30481103615102,114.90696963734615,1258.1265797351564,1250.2666037507627
109,117.30481882270988,114.9069665641649,1258.1261641553895,1250.2662012573014
110,117.30482654481307,114.9069634192976,1258.1257493049557,1250.265799494909
111,117.30483429598574,114.90696030682065,1258.1253341280765,1250.2653974050654
112,117.30484204410035,114.90695719096877,1258.1249189867217,1250.2649953527311
113,117.3048497920142,114.90695407495261,1258.1245038496688,1250.264593302363
114,117.30485755129139,114.90695097161664,1258.1240885845284,1250.2641911256246
115,117.30486526818628,114.9069478211536,1258.123673801048,1250.2637894305662
116,117.30487304202764,114.90694473410187,1258.123258373777,1250.263387092682
117,117.3048807672113,114.90694159296265,1258.122843499079,1250.2629853051264
118,117.30488851354909,114.906938475417,1258.122428386019,1250.2625832785245
119,117.30401842335166,114.90595837588879,1258.1319442786232,1250.2721277653081
120,117.3040261781428,114.9059552677677,1258.13152907301,1250.271725648304
121,117.30403393931994,114.90595216680298,1258.1311137965333,1250.2713234596781
122,117.30404167203434,114.90594903418474,1258.1306988443005,1250.2709215968866
123,117.30404943667375,114.90594593716929,1258.1302835312504,1250.2705193707604
