distance_between_leaks: 1 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
32,117.30381369796343,114.90750537847488,1258.1837752923882,1250.3229784362422
33,117.30382144198062,114.90750225374666,1258.1833600550597,1250.3225762550308
34,117.30382919832839,114.90749914265196,1258.18294467527,1250.3221739488908
35,117.30383695825839,114.90749603483535,1258.1825292362628,1250.3217716796194
36,117.30384470021988,114.90749290820744,1258.1821140318675,1250.3213694995839
37,117.30385243770522,114.90748977516542,1258.181698839993,1250.3209675210226
38,117.30386019429821,114.9074866652679,1258.181283483958,1250.320565141414
39,117.30386795754413,114.90748356162209,1258.1808680208408,1250.3201628088952
40,117.30387569545246,114.90748043012772,1258.1804528516252,1250.3197607337074
41,117.30388345033775,114.90747731815354,1258.1800375121836,1250.319358408426
42,117.30389118523307,114.90747418312986,1258.179622374163,1250.3189563966819
43,117.30389894569862,114.90747107626822,1258.179206939484,1250.3185541309692
44,117.30390671228746,114.90746797770176,1258.1787914759518,1250.3181516514728
45,117.3039144423783,114.90746483746331,1258.1783763968062,1250.3177496979754
46,117.30392219941508,114.90746172651309,1258.1779609937796,1250.3173475160381
47,117.30392996506502,114.90745862718057,1258.177545550465,1250.3169450360372
48,117.30393770715133,114.9074555008107,1258.1771303495545,1250.3165429112491
49,117.3039454752801,114.90745240304594,1258.1767148454112,1250.3161405355468
50,117.30395319233371,114.90744924919697,1258.1762999409577,1250.3157386671837
51,117.30396096458219,114.90744615576232,1258.1758843805992,1250.3153362822181
52,117.30396872179134,114.90744304659184,1258.1754690222938,1250.314933971563
53,117.30397646283603,114.90743991885999,1258.1750538298138,1250.3145319078965
54,117.3039841954459,114.9074367829785,1258.1746387662624,1250.314129819708
55,117.30399195417745,114.90743367462076,1258.1742233653758,1250.313727598705
56,117.30399971298421,114.9074305675882,1258.1738079978293,1250.3133252563016
57,117.30400746143829,114.90742744849128,1258.1733927335001,1250.3129230921516
