distance_between_leaks: 10 foot, number_of_leaks: 2
first_leak_position(foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
104,117.30353724446817,114.90628377978905,1258.1614055426146,1250.3015507186271
105,117.30354497297573,114.90628064068443,1258.1609905745825,1250.301148843698
106,117.30355274768486,114.90627755310838,1258.1605750882122,1250.3007464398233
107,117.30356048683979,114.90627442587491,1258.1601600011256,1250.3003444536826
108,117.30356823738492,114.90627131144976,1258.159744788656,1250.2999423307006
109,117.30357598335272,114.90626819196669,1258.1593296295518,1250.299540261642
110,117.30358375120873,114.906265096946,1258.1589142249072,1250.2991379398752
111,117.30359149329219,114.90626197321534,1258.1584991115724,1250.2987359186827
112,117.3035992360061,114.90625885025084,1258.1580839942096,1250.2983338894796
113,117.30360697759758,114.90625572602742,1258.1576688884059,1250.2979318798307
114,117.30361472387207,114.90625260714144,1258.1572537335892,1250.2975298099686
115,117.30362247524671,114.90624949392179,1258.156838521178,1250.297127689145
116,117.30363022827453,114.90624638256213,1258.156423289919,1250.2967255533579
117,117.30363796744496,114.90624325586988,1258.1560082186916,1250.2963235711022
118,117.30364573045114,114.90624015578172,1258.1555928802843,1250.2959213166992
119,117.30365348366594,114.90623704477564,1258.1551776517022,1250.2955191812111
120,117.30447011465684,114.90713416533022,1258.145611575864,1250.285951910588
121,117.30447789426104,114.90713108386748,1258.145196051983,1250.2855494739938
122,117.30448564526479,114.90712797057932,1258.1447808519977,1250.285147366747
123,117.3044933899564,114.90712485032459,1258.1443657250281,1250.284745330801
124,117.30450112236002,114.90712171642514,1258.1439507386788,1250.2843434366857
125,117.30450890328382,114.90711863663367,1258.1435352056299,1250.2839409874816
126,117.3045166532686,114.90711552243374,1258.14312002463,1250.2835388920655
127,117.30452437735661,114.90711237941636,1258.142705136524,1250.2831370954875
128,117.30453210914567,114.90710924500776,1258.1422901618312,1250.2827352135707
129,117.30453987944964,114.90710615349431,1258.1418747529142,1250.2823328979284
130,117.30454762932482,114.90710303929566,1258.141459576587,1250.2819308143235
131,117.30455536923269,114.90709991413226,1258.1410445166507,1250.2815288361955
132,117.30456311715164,114.90709679782458,1258.140629365156,1250.2811267793488
133,117.30457086199286,114.90709367821358,1258.1402142516151,1250.2807247505536
134,117.30457859392452,114.90709054425064,1258.139799284974,1250.2803228722603
135,117.30458634701247,114.9070874338143,1258.1393840781566,1250.2799207620708
136,117.30459409800095,114.90708432117194,1258.1389688990296,1250.2795186679602
137,117.30460186004501,114.90708122087516,1258.1385535961322,1250.2791164501227
138,117.30460960562613,114.9070781022642,1258.1381384800804,1250.278714423805
139,117.30461734112029,114.90707497238922,1258.1377234775225,1250.2783125215676
140,117.30462509156115,114.9070718593316,1258.1373083100775,1250.2779104368583
141,117.30463286256204,114.90706876908449,1258.1368929088362,1250.2775081324608
142,117.30464059094498,114.90706563154586,1258.1364779942696,1250.2771063022606
143,117.30464834083116,114.90706251792115,1258.1360628353616,1250.2767042361504
144,117.304656081647,114.90705939429024,1258.1356477817803,1250.2763022694382
145,117.30466385334385,114.90705630508135,1258.1352323806495,1250.27589995312
146,117.30467158350682,114.90705316965114,1258.1348174499383,1250.2754981129092
147,117.30467932778576,114.90705005002462,1258.1344023620277,1250.2750961088739
148,117.30468707067375,114.90704692877847,1258.1339872875005,1250.2746941339162
149,117.30469482931682,114.90704382522412,1258.1335720402278,1250.274291969899
