,leak_coeff: 0.5,,,
leakage_position (foot),upstream_pressure (psi),downstream_pressure (psi),upstream_flow (gpm),downstream_flow (gpm)
49,117.35381933363347,114.94407971087583,1257.0857706347724,1251.6697998412221
50,117.35382444297373,114.94407729413551,1257.085486874169,1251.669526730283
51,117.35382959188834,114.94407492149487,1257.085202666063,1251.6692531701003
52,117.35383470087791,114.94407250443807,1257.0849189099772,1251.6689800645006
53,117.35383982369663,114.94407010281712,1257.0846349995275,1251.6687068022027
54,117.35384494829705,114.94406770321346,1257.0843510702832,1251.6684335206664
55,117.35385008881552,114.94406532135402,1257.084066960323,1251.6681600604788
56,117.35385520822064,114.94406291603367,1257.0837830912376,1251.6678868399706
57,117.35386032349092,114.94406050612652,1257.0834992707903,1251.6676136691558
58,117.3538654691448,114.94405813009307,1257.0832151059185,1251.6673401528715
59,117.35387058598732,114.94405572202857,1257.0829312688293,1251.6670669636926
60,117.35387571267846,114.94405332494699,1257.0826473214454,1251.666793665203
61,117.35388083721578,114.94405092549623,1257.0823633990701,1251.6665203926907
62,117.35388595866816,114.94404852265565,1257.0820795130617,1251.6662471551008
63,117.3538910700884,114.94404610867082,1257.0817957416753,1251.665974033378
64,117.35389621032488,114.94404372681093,1257.081511643618,1251.665700584376
65,117.35390130982245,114.94404129962182,1257.0812280100622,1251.6654275998683
66,117.3539064565102,114.94403892500644,1257.0809438422305,1251.6651540801001
67,117.35391159469016,114.94403654094351,1257.0806597711953,1251.66488065893
68,117.3539167082724,114.94403412953817,1257.0803759806324,1251.6646075172453
69,117.35392181937475,114.94403171541924,1257.0800922185324,1251.664334403355
70,117.3539269541946,114.9440293277218,1257.0798081890246,1251.6640610228187
71,117.3539320817649,114.94402693199311,1257.0795242421989,1251.6637877250134
72,117.35393721196662,114.94402453922187,1257.0792402678146,1251.6635143988988
73,117.35394233275994,114.94402213601987,1257.0789563993765,1251.6632411796527
74,117.35394745349637,114.94401973278383,1257.0786725335956,1251.6629679624868
75,117.35395258417579,114.94401734064057,1257.0783885567582,1251.6626946344513
76,117.35395769955352,114.94401493150849,1257.078104752837,1251.6624214799133
77,117.35396281864213,114.94401252653735,1257.0778209089665,1251.6621482846326
78,117.3539679782647,114.94401016671455,1257.0775366067257,1251.6618746312072
79,117.35397307007044,114.94400773144612,1257.0772530735694,1251.661601746838
80,117.35397821396197,114.9440053541852,1257.0769689513015,1251.661328273279
81,117.35398334912821,114.94400296724537,1257.0766849294334,1251.6610548996803
82,117.35398846908451,114.94400056340402,1257.0764010806363,1251.6607817000286
83,117.35399357992573,114.94399814945554,1257.0761173357462,1251.6605086041936
84,117.35399870060398,114.94399574649339,1257.0758334801437,1251.6602353975354
85,117.35400380720742,114.94399332788537,1257.0755497857526,1251.6599623527432
86,117.35400895934944,114.94399096002684,1257.0752655754814,1251.6596887899757
87,117.35401408013962,114.94398855727607,1257.0749817225546,1251.6594155864925
88,117.35401919816721,114.94398615149385,1257.0746979012977,1251.6591424143328
89,117.35402432793585,114.94398375882345,1257.0744139483597,1251.6588691091288
90,117.35402945253828,114.94398136041696,1257.0741300551601,1251.658595865457
91,117.35403456896353,114.94397895295413,1257.0738462548397,1251.6583227142798
92,117.35403968258665,114.94397654240487,1257.073562487332,1251.658049595978
93,117.3540448279649,114.94397416724273,1257.0732783616468,1251.657776117976
94,117.35404994591417,114.94397176157194,1257.0729945480273,1251.657502953062
95,117.3540550638524,114.94396935592603,1257.0727107347395,1251.657229788935
96,117.35406017695892,114.94396694493068,1257.0724269775144,1251.6569566810854
97,117.3540653280411,114.94396457625201,1257.072142791502,1251.6566831424543
98,117.35407043895296,114.94396216288713,1257.0718590603121,1251.656410060895
